TMIN_0,TMIN_1,TMIN_2,TMIN_3,TMIN_4,TMIN_5,TMIN_6,TMIN_7,TMIN_8
-8.278514720358055,-6.641751009137552,-5.004987297917049,-3.368223586696546,-1.7314598754760429,-0.09469616425553973,1.5420675469649634,3.1788312581854665,4.81559496940597
-8.725793787894746,-7.0206591842702135,-5.315524580645681,-3.610389977021148,-1.9052553733966153,-0.2001207697720826,1.5050138338524501,3.210148437476983,4.915283041101516
-8.564462826473802,-6.844748814547632,-5.125034802621462,-3.405320790695291,-1.6856067787691211,0.03410723315704978,1.7538212450832198,3.47353525700939,5.19324926893556
-8.35029444699782,-6.645225426146152,-4.940156405294484,-3.2350873844428154,-1.5300183635911475,0.17505065726052038,1.8801196781121892,3.585188698963856,5.290257719815525
-7.501030413563334,-5.791609787384122,-4.082189161204909,-2.3727685350256964,-0.6633479088464842,1.046072717332728,2.755493343511941,4.464913969691152,6.1743345958703655
-7.853720073188453,-6.159888202538234,-4.466056331888015,-2.772224461237796,-1.078392590587577,0.6154392800626409,2.3092711507128607,4.0031030213630805,5.6969348920132985
-7.388486978892865,-5.70863757499027,-4.028788171087676,-2.348938767185081,-0.6690893632824872,1.0107600406201067,2.6906094445227025,4.370458848425296,6.05030825232789
-6.755784819912758,-5.07867891320833,-3.401573006503903,-1.724467099799476,-0.04736119309504794,1.6297447136093801,3.3068506203138064,4.983956527018234,6.6610624337226625
-6.436658428117064,-4.745158001784873,-3.0536575754526822,-1.362157149120491,0.32934327721169954,2.02084370354389,3.712344129876082,5.403844556208273,7.095344982540463
-5.931344823477204,-4.289065963106972,-2.64678710273674,-1.0045082423665077,0.6377706180037244,2.2800494783739573,3.9223283387441885,5.56460719911442,7.206886059484653
-5.841597245469804,-4.122850541964585,-2.4041038384593665,-0.6853571349541481,1.0333895685510708,2.7521362720562896,4.470882975561508,6.189629679066727,7.908376382571945
-5.544447296104838,-3.7974806422473684,-2.050513988389899,-0.3035473345324293,1.4434193193250406,3.1903859731825097,4.93735262703998,6.68431928089745,8.43128593475492
-5.661596460771749,-3.941261173300187,-2.220925885828625,-0.5005905983570624,1.2197446891144992,2.940079976586061,4.660415264057624,6.380750551529186,8.101085839000747
-4.396980525646463,-2.7126396649750752,-1.0282988043036871,0.656042056367701,2.340382917039089,4.024723777710476,5.709064638381865,7.393405499053254,9.077746359724642
-3.8354659572601695,-2.271614439309018,-0.7077629213578671,0.8560885965932843,2.4199401145444353,3.983791632495586,5.5476431504467385,7.111494668397889,8.67534618634904
-3.8697154500279383,-2.165778410380539,-0.461841370733139,1.2420956689142604,2.94603270856166,4.64996974820906,6.3539067878564595,8.05784382750386,9.76178086715126
-3.9551415553286575,-2.2843115470980937,-0.6134815388675294,1.0573484693630344,2.7281784775935987,4.399008485824163,6.069838494054727,7.740668502285292,9.411498510515855
-3.612391294816689,-1.8801219481973506,-0.14785260157801217,1.5844167450413265,3.3166860916606646,5.048955438280004,6.781224784899342,8.51349413151868,10.245763478138018
-3.3754992159625528,-1.7047611730591075,-0.03402313015566216,1.6367149127477831,3.3074529556512284,4.978190998554673,6.6489290414581195,8.319667084361566,9.99040512726501
-3.0095251093668995,-1.3226020933935914,0.3643209225797168,2.051243938553025,3.738166954526333,5.425089970499641,7.1120129864729495,8.798936002446258,10.485859018419566
-2.746020394013003,-1.0601081892026671,0.6258040156076685,2.311716220418004,3.99762842522834,5.683540630038674,7.36945283484901,9.055365039659346,10.741277244469682
-2.996027715314463,-1.2412980695238893,0.5134315762666843,2.2681612220572576,4.022890867847831,5.777620513638405,7.532350159428978,9.287079805219552,11.041809451010126
-2.485512761708608,-0.7109568345254411,1.063599092657726,2.838155019840893,4.61271094702406,6.387266874207227,8.161822801390393,9.936378728573562,11.710934655756727
-2.682167553056173,-0.9589718930840123,0.7642237668881484,2.487419426860309,4.21061508683247,5.93381074680463,7.657006406776791,9.380202066748952,11.103397726721113
-2.6618332359925247,-0.9613662485947203,0.7391007388030841,2.439567726200888,4.140034713598693,5.840501700996498,7.540968688394301,9.241435675792106,10.94190266318991
-2.0858626881008155,-0.34427370715939065,1.3973152737820342,3.138904254723459,4.8804932356648845,6.622082216606309,8.363671197547733,10.105260178489159,11.846849159430583
-1.8223559007037216,-0.1428615598239933,1.536632781055735,3.2161271219354637,4.895621462815192,6.575115803694921,8.254610144574649,9.934104485454377,11.613598826334105
-1.869301548589264,-0.17191332047457308,1.5254749076401177,3.2228631357548085,4.920251363869499,6.617639591984189,8.31502782009888,10.012416048213574,11.709804276328263
-1.1923200468569513,0.47644646984401806,2.1452129865449874,3.8139795032459562,5.4827460199469265,7.151512536647896,8.820279053348864,10.489045570049834,12.157812086750804
-1.0534279112965224,0.5893212120874036,2.2320703354713296,3.874819458855256,5.517568582239182,7.1603177056231075,8.803066829007035,10.44581595239096,12.088565075774886
-1.202307179932704,0.504182428088914,2.210672036110532,3.91716164413215,5.623651252153769,7.330140860175385,9.036630468197004,10.743120076218622,12.44960968424024
-0.3558656910374561,1.292356350250665,2.9405783915387858,4.588800432826907,6.237022474115028,7.88524451540315,9.53346655669127,11.18168859797939,12.829910639267512
